Command: /home/921088438/final/Final--AS/./simv -l simv.log +ntb_random_seed=1
Chronologic VCS simulator copyright 1991-2020
Contains Synopsys proprietary information.
Compiler version R-2020.12-SP2-11_Full64; Runtime version R-2020.12-SP2-11_Full64;  May 21 17:47 2024
VCD+ Writer R-2020.12-SP2-11_Full64 Copyright (c) 1991-2020 by Synopsys Inc.
Reset successful.
PASS: Expected sum d3, DUT sum d3
PASS: Expected sum 15f, DUT sum 15f
PASS: Expected sum 16d, DUT sum 16d
PASS: Expected sum 19b, DUT sum 19b
PASS: Expected sum 268, DUT sum 268
PASS: Expected sum 26d, DUT sum 26d
PASS: Expected sum 2dd, DUT sum 2dd
PASS: Expected sum 399, DUT sum 399
PASS: Expected sum 441, DUT sum 441
PASS: Expected sum 4d4, DUT sum 4d4
PASS: Expected sum 550, DUT sum 550
PASS: Expected sum 614, DUT sum 614
PASS: Expected sum 68c, DUT sum 68c
PASS: Expected sum 741, DUT sum 741
PASS: Expected sum 832, DUT sum 832
PASS: Expected sum 839, DUT sum 839
PASS: Expected sum 904, DUT sum 904
PASS: Expected sum 9f6, DUT sum 9f6
PASS: Expected sum a9f, DUT sum a9f
PASS: Expected sum b13, DUT sum b13
PASS: Expected sum ba7, DUT sum ba7
PASS: Expected sum ca5, DUT sum ca5
PASS: Expected sum d55, DUT sum d55
PASS: Expected sum dab, DUT sum dab
PASS: Expected sum e37, DUT sum e37
PASS: Expected sum e3e, DUT sum e3e
PASS: Expected sum f09, DUT sum f09
PASS: Expected sum f64, DUT sum f64
PASS: Expected sum 105f, DUT sum 105f
PASS: Expected sum 115a, DUT sum 115a
PASS: Expected sum 1247, DUT sum 1247
PASS: Expected sum 1329, DUT sum 1329
PASS: Expected sum 141e, DUT sum 141e
PASS: Expected sum 1467, DUT sum 1467
PASS: Expected sum 14e8, DUT sum 14e8
PASS: Expected sum 1580, DUT sum 1580
PASS: Expected sum 1669, DUT sum 1669
PASS: Expected sum 167b, DUT sum 167b
PASS: Expected sum 176c, DUT sum 176c
PASS: Expected sum 17ca, DUT sum 17ca
PASS: Expected sum 184d, DUT sum 184d
PASS: Expected sum 190c, DUT sum 190c
PASS: Expected sum 196f, DUT sum 196f
PASS: Expected sum 19c4, DUT sum 19c4
PASS: Expected sum 19f1, DUT sum 19f1
PASS: Expected sum 1a41, DUT sum 1a41
PASS: Expected sum 1a98, DUT sum 1a98
PASS: Expected sum 1af7, DUT sum 1af7
PASS: Expected sum 1be1, DUT sum 1be1
PASS: Expected sum 1ca5, DUT sum 1ca5
PASS: Expected sum 1da0, DUT sum 1da0
PASS: Expected sum 1e5e, DUT sum 1e5e
PASS: Expected sum 1f52, DUT sum 1f52
PASS: Expected sum 1fc8, DUT sum 1fc8
PASS: Expected sum 201e, DUT sum 201e
PASS: Expected sum 208a, DUT sum 208a
PASS: Expected sum 210c, DUT sum 210c
PASS: Expected sum 219c, DUT sum 219c
PASS: Expected sum 228a, DUT sum 228a
PASS: Expected sum 2325, DUT sum 2325
PASS: Expected sum 2423, DUT sum 2423
PASS: Expected sum 2474, DUT sum 2474
PASS: Expected sum 24fe, DUT sum 24fe
PASS: Expected sum 2596, DUT sum 2596
PASS: Expected sum 2615, DUT sum 2615
PASS: Expected sum 264d, DUT sum 264d
PASS: Expected sum 2653, DUT sum 2653
PASS: Expected sum 26b7, DUT sum 26b7
